mean,std,ptp,slope,zcr,spike_count,hjorth_mobility,hjorth_complexity,rms_first_diff,cluster
1.679948,0.002884817,0.01777649,-3.3729812e-06,0.36,0.05,0.98407984,1.2361922,0.002840424,0
1.6792778,0.0027405312,0.015466332,-4.5609995e-06,0.36,0.03,0.96290725,1.2414445,0.0026390227,0
1.6797614,0.009079749,0.06849694,4.0236526e-05,0.31,0.02,0.9814636,1.2300026,0.008911572,0
1.6797364,0.009048078,0.06849694,-2.4713747e-05,0.35,0.02,0.98849386,1.2269647,0.008943982,0
1.6756424,0.008766866,0.045877576,-0.0001150446,0.18,0.02,0.8900458,1.2970985,0.007802913,0
1.6765854,0.009246942,0.045877576,0.00011046718,0.24,0.02,0.8503182,1.3575987,0.007863208,0
1.6798564,0.0024979552,0.013297319,-1.3485677e-05,0.35,0.05,0.91968966,1.3068448,0.002297845,0
1.6802247,0.002784261,0.01900518,4.0660216e-05,0.34,0.02,0.9000069,1.3367862,0.0025058629,0
1.6819583,0.003062912,0.015364885,2.5186546e-05,0.31,0.05,0.95429546,1.2729186,0.002923882,0
1.6823297,0.0026048778,0.013908625,-1.1924494e-05,0.34,0.06,1.0229195,1.2212797,0.0026645814,0
1.6816435,0.0024655194,0.015036106,-2.1626824e-05,0.32,0.04,1.0368319,1.2637701,0.0025569198,0
1.6813567,0.0020673703,0.015036106,5.6522713e-06,0.32,0.03,1.0389756,1.2625881,0.0021479668,0
1.6815422,0.0016834578,0.0122715235,-6.2226104e-07,0.32,0.02,1.0597885,1.1517808,0.001784131,0
1.6817346,0.0023812621,0.017611623,6.420529e-06,0.42,0.03,1.0202749,1.2293239,0.0024295435,0
1.6827644,0.0031925256,0.016257644,3.4632452e-05,0.23,0.03,0.7570904,1.5802935,0.0024171749,0
1.6834062,0.0031236084,0.015758038,-5.2712044e-06,0.2,0.05,0.81973594,1.4646517,0.002560532,0
1.6827313,0.0022410012,0.017906666,-2.1453161e-05,0.36,0.03,0.9999067,1.2862498,0.0022408457,0
1.6825601,0.0015702675,0.013340473,9.0864805e-06,0.25,0.01,0.9674308,1.2704897,0.001521193,0
1.6833653,0.0030114262,0.018488169,1.3848008e-05,0.27,0.04,0.95411557,1.2942966,0.002873265,0
1.6828505,0.0030155557,0.018753171,-3.62913e-05,0.23,0.03,0.8682205,1.370327,0.0026228686,0
1.6813713,0.0018869021,0.012942195,-1.04939545e-05,0.31,0.01,0.87872386,1.368957,0.0016583101,0
1.6804248,0.0020744293,0.012942195,-1.4388182e-05,0.34,0.04,0.9157928,1.3772281,0.0018997433,0
1.6801019,0.0018578283,0.013282418,-4.513921e-06,0.32,0.02,1.030176,1.2702703,0.001914057,0
1.6804519,0.002436439,0.016346335,1.3428668e-06,0.32,0.02,1.0327725,1.2182387,0.0025162937,0
1.680529,0.0027199357,0.016070604,-2.4979693e-06,0.34,0.04,1.0154066,1.2556981,0.0027619242,0
1.6804982,0.0026065486,0.015388131,-9.781578e-07,0.35,0.04,1.0325769,1.2509677,0.0026915472,0
1.6803266,0.0022348482,0.016828299,-9.53367e-06,0.36,0.01,1.0509285,1.1580187,0.0023494035,0
1.6802645,0.0022974908,0.015762568,1.0336299e-05,0.36,0.02,1.0613582,1.2027535,0.0024390842,0
1.6810406,0.0027722546,0.019551992,2.4823265e-05,0.4,0.03,1.0256846,1.2684062,0.0028448233,0
1.6824875,0.0028035645,0.01865518,3.5699766e-05,0.3,0.02,0.8912409,1.4170214,0.0024986481,0
1.6836935,0.0030800863,0.016777039,2.7011198e-05,0.23,0.03,0.934474,1.3143795,0.0028784934,0
