pc1,pc2,pc3,cluster
-1.2894534,-0.1290877,-0.2028339,0
-1.5118183,0.18823302,-0.21624415,0
-1.4693995,0.43079868,-0.09042904,0
-1.8506441,0.60053146,-0.22149174,0
-1.2521862,-0.13263309,-0.21707575,0
-1.1694586,-0.24166168,-0.20273794,0
-1.3795964,0.063856274,-0.19199115,0
-0.45082507,-0.52193,-0.08869623,0
-1.1669042,-0.19867188,-0.27875662,0
-1.3696588,0.00063130836,-0.28751412,0
-1.548072,0.050568603,-0.35822552,0
-1.2533607,-0.11517409,-0.3467506,0
-1.5913087,0.17908813,-0.3450189,0
-1.53218,0.10492026,-0.29811442,0
-1.147261,-0.13397622,-0.17577092,0
-1.6909993,0.20068935,-0.36293525,0
-1.135044,-0.46497446,-0.19756958,0
-1.6649517,0.12507346,-0.28030485,0
-1.9494637,0.41651243,-0.3350562,0
-1.6073831,0.06447218,-0.30534765,0
-1.1675992,-0.15548891,-0.14776884,0
-1.5136032,0.17637558,-0.24720232,0
-1.9656559,0.39147282,-0.34342685,0
-1.60747,0.13860196,-0.27448818,0
-1.2721382,-0.10691447,-0.20235153,0
-1.5259732,0.017305968,-0.27957502,0
-1.38999,-0.17010452,-0.28440505,0
-1.8617358,0.13485566,-0.38752118,0
-1.1999905,-0.027589824,-0.15765819,0
-1.2911501,0.08257713,-0.2877784,0
-1.1126382,-0.24209505,-0.25659636,0
-0.059197932,1.1327161,0.32269365,0
-0.3196407,1.3021692,0.26824924,0
-1.3633925,0.012176781,-0.19824503,0
1.9239293,-0.98418075,0.20314066,1
1.9688016,-1.0167859,0.48915347,1
-1.5820378,0.15655488,-0.22330943,0
-1.8253989,0.31011552,-0.31660458,0
-1.6266065,0.15608828,-0.25509366,0
-1.5083724,0.010979536,-0.2324747,0
-0.5816761,-0.9272667,-0.045819677,0
-1.5215539,0.10370316,-0.22045426,0
-1.1748637,-0.01686059,-0.13024485,0
-1.1009731,-0.18313174,-0.15084282,0
-1.025948,-0.34545538,-0.22100693,0
-0.97901833,-0.42730194,-0.18798767,0
-1.0541642,-0.2738569,-0.18887027,0
-0.94197094,-0.24677677,-0.10697183,0
-0.9744028,-0.24618742,-0.19906703,0
-1.4622333,0.041267436,-0.34464088,0
-0.84649366,-0.37639737,-0.22924833,0
0.16704112,-1.3519486,-0.08953232,0
-0.63095045,-0.5256301,-0.12927736,0
-0.9383847,-0.18431123,-0.1336111,0
-0.8908743,-0.36122024,-0.21862257,0
9.435753,1.6646148,4.4460416,1
8.762146,2.4429338,4.8061614,1
6.9671702,0.45020196,5.31106,1
4.7865834,-0.2216751,6.342184,1
13.042704,2.0757174,-4.656648,2
15.171442,8.292517,-8.382363,2
11.869288,7.4430356,-7.624708,2
9.509553,5.5872808,-7.0661235,2
12.589949,5.019457,-0.18021551,2
13.193691,2.6631875,4.331413,2
1.8889604,-2.1868894,0.12839091,1
0.61297715,-1.3529625,0.5303829,0
-0.4747517,-0.81149065,0.9435501,0
-0.7920025,-0.9089908,1.4614657,0
-1.7040622,-0.42195073,1.5624505,0
-1.1334903,-0.8934328,1.6081499,0
-1.3442166,-0.7889458,1.1228343,0
-1.3142127,-0.52013713,0.55893385,0
-0.64913243,-0.12707457,0.28861466,0
-1.1498404,0.42317608,-0.14413117,0
-0.044942528,-0.52906656,0.07625077,0
3.6785681,-0.6552526,-0.31363368,1
6.776288,0.11204464,-2.467283,2
5.594757,-0.15422085,1.0759296,1
2.9457722,-0.71264076,0.7978186,1
-0.47417244,-0.063496895,-0.19330111,0
-1.9374787,0.5955036,-0.4212536,0
0.327907,-0.59966874,0.3179738,0
